word,count
deceivd,3
regaind,5
temper,24
wrought,14
every,116
object,18
whom,67
affec,1
tionate,1
discourse,13
serious,5
sermon,26
notable,3
accident,6
religion,27
usually,14
lasts,3
no,469
longer,22
till,56
somewhat,20
comes,27
way,105
calamy,1
facilitat,1
e,170
faciliter,1
free,98
difficulty,9
clear,36
impediments,2
choice,18
likeliest,1
best,52
prepared,9
metal,15
ver,6
sion,3
facilitate,5
bacons,153
natural,131
history,146
renewed,2
assault,6
two,124
three,64
days,35
planted,2
cannon,4
passage,25
did,201
hurt,8
attempt,12
clarendon,26
viii,73
though,106
perspective,1
called,64
certain,64
rule,35
finishing,1
picture,15
succour,4
relief,7
facilitates,2
means,37
execution,9
dufresn,1
produceth,3
due,14
quantity,13
animal,31
necessarily,5
motions,19
arbuthnot,56
diet,25
fide,6
cause,69
diversion,3
forces,9
progress,7
arms,54
spain,24
facility,13
facilita0,1
facilitas,1
easiness,11
performed,4
freedom,28
reason,74
saith,2
ability,6
hold,41
worldly,3
proportion,9
go,82
even,52
sidney,89
piety,27
could,119
diverted,2
commo,1
dious,3
motives,1
profit,6
raleigh,8
turks,26
worthy,11
gentiles,3
hope,33
success,14
might,86
invite,3
holy,32
readiness,6
performing,1
dexterity,2
studied,2
learned,13
excel,3
lent,4
acquired,1
profiting,1
themselves,81
reading,5
doing,20
custom,31
makes,77
often,57
pass,60
us,162
notice,10
locke,117
ductility,3
compliance,6
worse,13
bribery,1
bribes,2
importunity,2
idle,14
respects,3
lead,19
error,5
goodnature,1
tender,28
ness,39
discretion,5
better,49
pardonable,1
folly,18
30,7
complaisance,1
condescension,1
affability,3
opens,6
yields,3
reluctancy,1
offers,4
visits,1
friend,60
meeting,10
appetite,6
desire,27
souths,65
sermons,105
facinexe2x80x99rious,1
corrupted,17
shakespeare,486
facinorous,3
facinus,1
facinoris,1
wicked,18
xe2x80x99tis,11
very,165
brief,1
tedious,4
hes,19
facinerious,1
spirit,44
acknowledge,2
alls,4
ends,19
ornamental,2
outside,4
deco,1
ration,2
offices,7
dignities,2
facings,2
fringes,4
waton,1
facixe2x80x99norous,1
facinora,1
atro,1
cious,1
detestably,1
fac1norous,1
wickedness,7
high,75
degree,33
fact,16
facium,1
effect,27
produced,15
something,50
barely,1
sup,6
posed,6
suspected,3
really,6
credit,12
given,36
testimony,4
judg,7
ment,17
contrary,22
acknowledged,3
universally,3
practised,5
throughout,10
hooker,82
mistake,9
causes,13
operations,7
faa,1
rashly,1
nat,28
breaks,6
blazes,2
evi,1
dence,1
denied,3
sermony,1
reality,9
supposition,2
speculation,3
gt,16
418divp,1
d,50
percussion,2
likewise,16
therefore,40
eat,28
acid,4
teeth,13
edge,13
tainteth,1
795,1
true,65
colour,43
conclusion,4
jar,2
manifold,3
sins,7
separable,2
fail,38
attend,13
smalridge,2
deed,8
unhappy,5
break,41
pious,7
pleading,1
childrens,1
howeer,3
doubtful,7
understood,10
love,145
countrys,1
consul,2
father,59
sheds,3
faction,8
facio,2
party,11
queen,106
valued,2
thirty,7
strong,62
time,167
breathe,5
assurxe2x80x99d,1
fasiion,1
ours,7
been,146
known,23
commit,6
outrages,1
cherish,8
factions,6
timon,11
hatred,7
went,24
simons,1
murders,2
committed,8
mac,16
weight,28
counterpoise,1
balancings,1
factioans,1
charles,15
tumult,7
discord,7
dissension,1
remained,1
newbery,1
faclion,1
selves,6
faxe2x80x99ction,2
ary,3
ms,43
fallionaire,1
word,126
use,106
prythee,1
fellow,34
remember,11
menenius,1
always,48
factionary,1
coriolanus,36
factious,4
fadieux,1
loud,18
violent,24
publickly,1
diffensious,1
addicted,1
raise,31
publick,37
dis,15
turbances,1
traitor,3
tower,7
crop,1
away,122
pate,1
hen,35
befactious,1
redress,3
griefs,4
jul,10
casar,11
proceeding,8
dissensions,1
tending,4
greyheaded,1
warriors,5
mixxe2x80x99d,1
assemble,1
harangues,1
heard,31
soon,22
facious,2
opposition,7
xi,16
664,1
faampious,1
tumults,2
overbore,1
houses,19
quarrels,4
controversies,1
battles,6
amongst,16
united,11
juvenal,13
dedication,11
facriously,1
fadious,1
criminally,1
dissensious,1
tumultuous,1
oblige,1
friends,41
mine,40
ene,4
mies,4
exceeding,7
fac,1
tiously,1
discontented,3
faaious,1
inclimation,1
diffension,1
clamourousness,1
1tious,1
faditius,1
oppo,2
sition,1
making,41
distilling,1
soap,2
salt,19
water,126
oil,14
grease,3
whercof,1
facti,1
tious,4
concrete,1
up,226
boiled,4
brought,48
incorporate,3
boyle,41
hardness,5
wherein,21
stones,14
exceed,3
adamant,2
exalted,4
endeavours,7
counterfeit,8
facsi,1
chymists,3
imitation,9
detected,1
ordinary,20
lapidist,1
ray,28
creation,22
factor,5
fasteur,1
faaor,1
agent,2
transacts,1
commonly,38
substitute,3
mercantile,1
kingly,1
government,16
land,69
protector,2
steward,2
lowly,2
facior,1
anothers,6
gain,25
richard,21
percy,2
facier,1
lord,62
engross,1
glorious,18
deeds,11
behalf,4
senators,3
chief,22
fatfors,1
anthony,5
cleoapatra,4
agreed,3
send,16
whatsoever,9
island,5
yield,18
rea,6
sonable,1
rate,7
raleighs,39
apology,6
conceived,4
scots,5
factors,3
doubtless,2
mart,6
albeit,1
openly,3
trade,16
hayward,20
vije,1
arts,20
restless,3
sly,6
venomous,2
republican,2
ever,67
alleged,3
intromission,1
sorts,10
seampts,1
persua,1
sions,2
communion,1
separate,7
stiff,9
obstinate,2
submit,4
rules,17
orders,5
church,29
ought,33
takch,1
forcd,8
exile,2
rightful,1
throne,18
countries,14
came,46
viewing,3
monarchs,1
secret,23
sway,7
royal,12
kingdoms,9
lay,51
arithmetick,7
multiplicator,1
multiplicand,1
harris,26
factory,1
distriabt,1
inhabited,3
traders,2
distant,13
country,47
embodied,2
otu,1
factotum,1
burlesque,4
servant,12
employed,12
alike,10
kinds,15
scrub,1
stratagem,7
facture,1
aabt,12
faculty,16
faculta9,1
facultas,1
power,104
whether,47
corporal,4
intellectual,4
kind,117
crea,3
ture,10
rightly,4
perform,14
functions,7
allotted,1
perpetual,14
aid,12
concurrence,2
supreme,4
orators,3
grieve,2
sides,18
rather,52
heads,15
abides,1
denham,38
supplies,4
defeat,11
faculties,12
inferior,7
beasts,23
compass,14
bring,40
powers,12
mind,126
memory,17
understand,12
prime,4
end,88
inward,12
speaking,6
understanding,21
facalties,1
docke,2
neither,43
saviour,2
necessary,13
explain,3
god,140
impossible,7
bestowing,2
possess,5
physick,6
na,9
tural,2
nourished,3
augmented,1
generated,1
preserved,3
conducts,1
ampuincy,3
knack,1
habitual,4
excellence,4
none,37
re,34
conciling,1
sober,9
wondered,1
author,11
monarchical,1
absolute,7
text,1
excellent,21
preaching,2
refined,7
quality,32
disposition,17
habit,4
ixe2x80x99m,5
traducxe2x80x99d,1
tongues,6
know,89
chronicles,3
authority,11
duncan,5
born,25
meek,4
office,15
virtues,14
plead,4
angels,12
privilege,8
right,65
law,63
circumstances,6
almost,24
favour,61
granted,8
university,1
denotes,1
masters,18
professors,1
sciences,3
cu,1
nd,6
facundus,1
eloquent,1
diff,5
faddle,1
fiddle,13
toy,6
fingers,25
trifle,10
fade,7
insipid,7
languid,4
tend,7
greater,38
vigour,15
grow,64
weak,41
lan,6
uish,1
soa,38
brighter,1
weaker,3
greenness,2
leaf,26
apparent,5
fading,4
yellow,14
comparison,3
emerald,1
colours,37
spots,4
stone,31
edges,5
transition,1
white,37
black,30
declining,2
gradually,4
oodward,1
fossils,5
wither,3
vegetable,10
oak,5
whose,119
fadeth,1
garden,8
vanish,5
worn,15
either,91
default,1
ideas,28
quickly,8
stars,17
sun,59
dim,5
age,42
fink,4
addis,4
coa,5
amp,14
419divp,1
naturally,15
durable,5
transient,7
lose,24
fat,79
valley,2
ading,1
flower,54
xxv111,1
pictures,9
drawn,26
minds,20
laid,35
oas,3
refreshed,1
disappear,1
narcissusxe2x80x99,1
virgin,3
shows,10
trusts,3
rose,18
gays,10
fan,34
fapp,1
wear,21
reduce,5
languor,2
prive,1
freshness,10
wrinkled,3
faded,5
withered,4
maiden,3
sayft,1
palms,2
weights,1
thrivd,2
winter,21
laurels,2
anxiety,2
forlorn,16
despair,14
family,10
garths,7
ens,1
fang,10
xerczan,1
saxon,163
fugen,1
