word,count
maliciously,2
evil,16
tongues,11
slander,4
sacred,19
ashes,5
just,28
honourable,6
personage,1
spensers,35
th,54
court,36
better,74
penny,5
purse,5
davy,1
arrant,2
knaves,3
backbiter,1
privy,3
calumniator,1
censurer,2
bound,67
lackbiter,1
under,110
miner,1
betrayer,6
oppressor,3
backbone,4
bone,27
divided,43
vertebres,1
com,22
modious,1
bending,15
entire,3
rigid,2
backcarry,2
manwood,1
forest,20
laws,28
noteth,1
circumstances,10
cases,7
wherein,15
forester,1
arrest,1
offen,1
der,12
vert,1
venison,2
viz,2
stablestand,1
dog,14
draw,31
bloody,23
xe2x80xa2,28
cowel,21
backdoor,3
door,23
paslage,1
procession,1
durst,11
way,113
devotion,7
monks,2
passed,5
convent,1
popery,2
far,66
reenter,1
openly,3
stealing,1
atheism,4
atterbury,29
loftyneckd,1
sharp,36
headed,6
barrelbellyd,2
broadly,3
virgil,18
backfriend,1
secret,21
restless,1
importunities,1
talebearers,1
backfriends,2
fair,87
professions,2
church,48
encroaching,1
civil,13
power,72
insinu,1
atc,1
backgammon,3
gammon,1
game,11
tables,2
box,40
dice,6
esteem,10
vicar,1
parish,7
swift,157
buildings,6
hind,14
chief,22
backhouses,1
necessary,16
cleanly,1
service,19
kitchens,2
stables,2
climbed,1
steps,6
carews,23
survey,27
cornwal,17
backpiece,2
piece,65
armour,15
covers,4
morning,16
join,18
armourer,1
put,111
breastplate,1
camden,14
backroom,1
room,16
prospect,5
backwards,4
gardens,13
convenient,6
backrooms,1
larger,15
amox,1
mech,2
exerc,1
ide,2
quicksilver,3
rubbed,2
backside,2
spe,5
culum,1
glass,15
cause,71
rings,6
colours,17
faint,6
phaenomena,1
depends,1
encreases,3
refleampion,1
newtons,10
opticks,7
animal,28
carries,7
grain,11
corn,33
climbing,5
wall,22
head,129
downwards,3
bacoaside,1
upwards,2
addison,169
yard,7
ground,94
wash,14
pastures,2
fields,12
commons,8
roads,1
streets,6
backsides,1
advantage,24
land,57
mortimer,9
backsl1de,1
slide,2
apostatize,1
divines,1
hast,20
ba1csiding,1
israel,4
done,36
gone,13
high,79
mountain,14
green,43
tree,71
jeremiah,1
iii,123
backsl1der,1
backslide,1
apostate,1
backslider,1
heart,80
filled,26
prov,8
xiv,5
backst,1
aff,1
sios,1
because,72
observation,2
observers,1
sun,58
instrument,38
useful,11
suns,4
altitude,2
sea,98
vented,1
captain,9
backstairs,1
stairs,3
private,20
condemn,2
pracice,1
lately,10
crept,4
la,4
jairs,1
pricked,3
sheriffs,3
bill,38
advice,12
george,5
killieri,1
ack,1
italy,48
pdivdiv,76
backstays,1
ropes,5
says,16
keep,63
masts,3
pitching,1
overboard,1
a4,1
lacksword,1
arbuth,5
rackw,1
ard,5
xc5x82oa,2
pea,1
backw,3
ards,1
forwards,5
lackward,6
thcir,3
faces,14
genix,1
leaping,3
weights,6
then,189
force,53
rise,38
darting,3
malignant,7
eyes,85
strove,3
abheid,1
met,14
dareful,1
beard,37
beat,94
bacward,1
home,24
macbeth,59
monstrous,4
struck,15
horrour,5
worse,20
urgd,2
aiitons,1
paradise,58
loaft,45
regressively,1
rays,7
passing,7
edges,9
fides,6
bodies,29
bent,47
several,60
times,39
mo,5
tion,36
eel,2
poast,3
possibility,3
argument,14
looks,23
ed,37
certainly,10
suffered,4
progressive,1
state,99
reflex,1
doubtless,3
herself,11
understanding,22
work,47
toa,70
advance,9
suit,20
farther,13
spread,30
worst,9
reigns,3
perversely,2
wrong,13
end,85
spell,1
fairfacd,1
shed,8
gentleman,16
sister,7
black,92
nature,83
drawing,14
antick,1
made,239
foul,28
blot,15
launce,2
illheaded,1
ado,19
nothing,78
ryden,2
unwilling,3
averse,3
cities,9
laid,45
waste,12
stormd,1
dens,4
caves,3
wiser,4
brutes,6
slaves,8
strangely,2
safe,9
method,11
cure,12
mutability,1
makes,52
nation,16
engage,7
alliances,1
freeholder,28
