word,count
hotly,2
nobly,2
contend,5
valoaur,1
coriolanus,19
preys,1
reason,88
eats,2
fights,6
ant,31
cleo,2
innate,2
appeared,5
soldiers,10
defence,11
stab,1
howel,5
formd,5
softness,3
she,195
attractive,3
giants,1
high,48
renown,2
days,29
might,88
admirxe2x80x99d,2
heroic,2
virtue,80
callxe2x80x99d,5
palour,1
gives,17
awe,9
promises,10
protection,5
defend,5
women,8
master,18
numerous,2
herd,3
temples,5
miscel,1
valuable,5
valable,1
precious,8
worthy,18
deserving,5
regard,15
just,55
remains,17
atterburys,3
serm,1
circumstances,7
story,6
lessens,1
distance,9
minute,6
swifts,9
valuation,5
lives,19
flight,25
reserve,2
crackd,2
care,40
cymbeline,11
mens,23
valuations,1
pocoa,1
shrunken,1
denarius,1
present,36
coins,4
setting,9
appraisement,1
denying,5
gift,8
thinking,7
highly,3
ray,30
creatioan,2
valuaxe2x80x99ror,1
appraiser,1
sets,7
worth,22
physicians,2
rate,15
caesar,13
well,99
acquainted,7
virtues,17
therefore,35
know,49
catos,3
friendship,13
equal,33
bought,5
sent,26
obliging,2
testimony,6
pay,15
pictures,4
above,50
poas,2
job,7
xiiibr,1
valoir,1
torate,1
certain,43
country,39
grows,12
betterinhabited,1
tithes,3
obventions,1
augmented,1
valued,8
valuing,4
reputation,11
repute,4
dishonest,1
gain,16
inferior,5
thereunto,4
carews,4
survey,9
values,7
amilton,8
esteem,8
finest,1
treatises,1
dialogue,1
many,136
pieces,7
appear,40
compassion,3
lieved,2
afflicted,5
sermons,74
orchards,1
early,11
fruits,14
pleasing,12
offring,1
appraise,1
cstimate,1
poorer,1
estimation,4
priest,9
lev,3
xxvii,3
8,21
cost,5
conclude,8
seem,26
longer,14
clock,2
doth,89
mo,13
inent,1
reckon,2
respeampt,1
power,102
thousand,26
ours,10
consider,12
importance,2
important,2
king,85
slightly,4
messenger,2
shakespears,4
lear,31
according,23
rules,26
integrity,3
countervail,2
cannot,78
ophir,1
xxviii,5
16,8
9,26
ordered,3
resisting,2
wisdom,30
wisest,5
making,31
miserable,12
foolish,4
success,10
prosperous,5
sidney,64
jealousies,1
crowi1,1
temple,21
desire,33
shewing,2
faults,7
vaxe2x80x99lue,1
counterfeit,3
resembling,4
touchd,5
tried,11
proves,4
valueles,1
peares,1
valuer,1
valve,3
valva,1
folding,1
door,7
valves,5
visionary,4
repassd,2
popes,26
odys,1
iv,32
opens,5
mouth,22
vessel,29
opening,9
forcing,3
sucker,1
driven,9
iorks,1
anatomy,4
membrane,2
cer,4
tain,4
vessels,22
admit,12
blood,66
shuts,1
regress,1
arteries,6
contractile,1
drive,11
forward,8
hindered,5
going,9
backward,3
aliments,10
valyule,1
valvule,1
small,34
vamp,4
upper,13
leather,2
shoe,2
ainsworth,5
probably,7
enough,30
avant,5
mean,35
laying,2
new,78
outside,7
piece,21
wish,17
physick,4
thats,12
sure,21
opinion,32
hath,142
vamped,1
cardan,1
vampt,1
play,24
vamper,1
something,39
van,9
front,5
line,18
prick,2
forth,39
airy,9
foe,11
surveyd,1
arrangd,1
main,18
battle,9
rear,7
phudibras,1
pan,4
foremost,4
squadrons,3
midmost,1
battles,2
hastning,1
vannus,1
spread,14
raised,9
fan,5
ignorance,10
sea,46
oar,24
cornvan,1
notes,11
odyss,3
wing,11
beaten,3
sailbroad,1
vans,4
preads,1
surging,1
smoke,8
uplifted,5
spurns,1
amiltons,5
fiery,17
globe,4
angels,10
sail,10
drew,8
nigh,6
plumy,1
receivd,6
uneasy,15
station,3
upbore,2
floating,4
couch,4
blithe,2
mill,5
disabled,3
unstrung,4
lsoa,2
wheeld,1
stretchd,3
vanes,1
broad,8
narower,1
minister,4
progressive,1
motion,61
bird,6
courier,1
savantcourier,1
precussor,1
vane,3
vaene,1
dutch,9
hun,1
sa3oa,1
j,93
pin,4
turn,31
spellbackward,1
tall,4
illheaded,1
speaking,12
shais,11
guard,10
garde,1
kings,35
vantguard,1
maintained,5
wanguard,1
unfold,14
min,1
vanillan,1
vanille,1
anoan,1
malous,1
consisting,16
six,9
placed,18
circular,2
order,34
middle,11
concave,6
empalement,4
becomes,10
horned,3
fleshy,2
fruit,23
plants,37
scent,3
chocolate,1
mixed,10
vanillios,1
spices,1
acquires,1
bad,24
qualities,16
aromatic,1
oils,1
nish,2
co,3
evanouir,1
lose,25
perceptible,4
existence,7
gotten,3
dan,1
ger,2
nursed,1
else,34
vanishesh,1
whither,2
vanishd,3
xe2x80x94into,1
seemd,8
corporal,3
melted,4
skaxc5x82oaspears,1
fancy,20
brings,15
piles,1
builds,1
imaginary,5
rome,22
anew,2
disappear,1
taken,34
vanshoaff,1
cut,28
cleaving,1
moment,7
ods,2
lost,35
spirit,53
seriousness,3
vanished,1
once,50
infidelity,5
prophaneness,1
started,2
vanitas,1
vanita9,1
uncertainty,9
endeavour,5
wanity,1
possesseth,1
desirous,2
thoar,1
tainty,2
come,59
wandring,7
least,39
safe,24
rejected,2
forewarning,1
trifling,2
scripture,12
judged,5
answerer,1
thoas,1
inventor,1
hiji,1
joarld,2
untruth,6
walsingham,1
sirj,1
pursuit,5
unsubstantial,5
joyment,1
object,14
glorious,11
creatures,28
earth,99
sumed,1
secular,1
allowing,1
none,36
baser,4
sort,28
employed,8
own,123
oafter,2
bestow,3
young,38
couple,2
tempsf,1
cast,25
serious,4
wit,33
davies,12
maks,1
sin,14
eldest,3
youngest,1
surpass,1
desires,15
womans,3
transient,2
fled,9
vanities,3
dead,32
succeeding,5
regards,1
plays,5
oer,27
ostentation,10
arrogance,2
however,4
whilst,10
ignoranoa,1
o,90
ener,1
build,9
forged,1
histories,2
anti,1
ub,1
learned,17
poets,12
lished,1
under,185
authors,10
names,17
read,20
scriptures,4
fearing,4
severity,4
areopagite,1
example,11
moasier,1
cas,1
looks,21
cards,1
pdivdiv,61
oaoa,7
exerted,2
grounds,3
ope,2
rating,1
occasions,5
add,8
guilt,10
hear,31
conquests,1
maxim,2
schools,4
vanitys,1
food,14
fool,6
then,119
condescend,3
bit,4
winnow,2
corn,9
oaanning,1
lieth,2
lowest,7
best,56
vanouish,1
vaincre,1
conquer,2
overcome,8
subdue,6
wertxe2x80x99t,1
jar,2
fearful,7
whom,59
late,15
vanquished,5
start,8
seas,14
vanquish,2
shakes,20
subdued,10
rebels,7
el,2
1coun,1
ters,2
gods,54
via0or,1
vanquishxe2x80x99d,1
chose,5
chuse,9
vanquishd,5
refore,1
confute,1
bold,16
assertion,4
fully,9
reply,5
meauxs,1
treatise,5
aftterbury,1
vanquisher,7
froam,2
conqueror,5
subdues,1
pawn,1
fortunes,8
hopeless,5
restitution,2
rise,36
victorious,9
spoild,3
vaunted,3
spoil,7
troys,1
achilles,6
philips,33
vantaoe,1
advantage,21
vantage,6
get,6
trade,17
pastor,1
sydn,1
superiority,3
means,43
action,38
another,93
excuse,4
excepted,3
ge,5
tired,5
harrassed,1
march,14
pardoned,1
oane,2
innocent,7
opportunity,6
assurxe2x80x99d,1
madam,3
twill,2
peril,3
afraid,6
needless,4
voaltage,1
anterass,1
savant,3
bras,1
armour,8
arm,16
silver,18
beaver,1
wantbrace,1
witherd,5
brawn,1
shases,1
vanthras,1
greves,1
gauntlet,1
wapid,2
soaapidus,1
eva,1
porated,1
spiritless,2
maukish,2
wines,6
feed,17
awhile,3
fat,7
refuse,6
disjoind,2
spritely,6
sharp,12
vapid,2
change,51
viscous,6
constitution,12
stagnation,1
acrimony,4
putrefaction,3
oapia,1
maukishness,1
waporation,1
vaporation,2
escaping,1
vapours,10
vapokoar,1
vapour,17
boaster,3
braggart,3
shews,10
vaporers,1
scorn,6
selves,9
vaporish,1
vapoaur,2
vaporous,6
splenetick,1
hu,2
moursome,1
pallas,1
grew,19
vapoarish,1
odd,4
vapqrous,1
ivaporeux,1
exhalations,3
fumy,1
night,58
approaches,1
proceeded,5
vapourish,1
sandys,16
abode,6
poaroa,1
subtile,8
valetudinarian,1
windy,3
flatulent,1
mother,24
eat,17
beans,1
endangereth,1
child,19
become,20
lunatick,1
element,2
equally,7
bear,49
parts,87
moisture,3
drops,6
4res,1
antidote,5
agains,1
atheism,4
perspirable,2
easily,25
digested,2
tube,1
jetting,1
extremity,10
artery,1
oay,2
steams,1
bioad,3
cheyne,7
wapour,1
vapoar,1
ampapor,1
exhalable,1
mingles,1
oaur,3
mist,3
exhilation,1
hoa,17
sun,55
powrful,5
beams,15
displays,2
draws,4
obscure,13
rays,10
misoal,1
vanner,1
adorn,4
glories,4
augment,4
floaoa,3
thessalian,1
witches,5
meetings,2
wonders,6
carry,17
ng,4
transforming,1
bodia9s,1
fables,3
imagination,10
ointments,1
laid,30
thick,11
shut,6
send,19
head,56
extremely,4
fume,4
steam,1
morning,9
clouded,6
meat,13
distilling,1
hot,19
ascends,1
fij,1
candle,5
along,19
naitoa,1
optics,3
imposthume,1
vinegar,6
creates,1
cough,1
proper,27
oan,21
dioa,3
mental,7
sorrow,17
amendment,2
melancholy,10
discernible,2
hammond,11
diseases,7
cause,58
flatulence,1
diseased,2
hypochondriacal,1
maladies,1
spleen,5
ascribe,4
frequent,12
studious,4
sex,7
often,42
subject,30
speciator,13
noa,38
11,8
vatoo9r,1
svaporo,1
emit,7
fumes,3
fly,39
evaporations,1
wilt,11
running,10
waters,22
standing,11
bacons,27
nat,32
767,1
bully,1
brag,5
quoth,4
affirm,6
hudibras,11
cry,9
xc2xa7pply,1
vapouring,1
ranting,1
hudibrar,2
poaurd,1
insignificant,1
testi,1
monies,1
society,6
annihilate,3
arguments,15
glanvilles,4
proay,1
scoap,1
dutchmen,1
curse,12
dorsets,1
song,12
effuse,1
fuma9s,1
qur,4
break,21
lamenting,2
kiss,11
sucks,1
hexe2x80x99d,1
laugh,9
throw,16
anoather,2
fighing,1
melt,6
johnsoan,6
opium,2
loseth,1
poisonous,5
quality,27
vapoared,1
mingled,5
hopen,1
somewhat,24
fix,12
restored,3
vapoured,1
incorporated,1
mass,8
variable,11
xe2x80xa6ariable,1
variabilis,1
able,58
mutable,4
inconstant,6
swear,6
thxe2x80x99,105
moon,6
monthly,1
changes,12
circled,1
orb,9
likewise,10
haply,5
countries,9
objects,15
expel,2
lively,11
image,10
ancies,1
passions,19
mortals,10
serpents,3
deceivers,1
orld,3
selfleft,1
44iltoans,1
xi,6
92,1
variableness,1
changeableness,1
solicitous,3
variablenes,2
wea,1
ther,11
seasons,5
levity,2
inconstancv,1
coa,9
imate,1
charge,18
judgment,30
clarissa,3
variably,1
changeably,1
mutably,1
uncertainly,3
nj,6
vary,11
discord,4
disagreement,3
dis,8
ions,2
variance,7
father,37
matth,1
law,52
course,36
oarz,1
war,52
danies,1
doctrine,14
gospel,11
